 FileName;River;Position;Time;Replicate;37B;38B;40B;44B;46B;51B;60B;61B;64B;65B;66B;75B;80B;80B;81B;82B;88B;91B;94B;95B;96B;100B;101B;102B;103B;104B;105B;106B;107B;109B;110B;111B;114B;115B;117B;118B;119B;124B;125B;126B;127B;130B;131B;135B;140B;141B;148B;149B;159B;160B;161B;162B;170B;174B;175B;182B;186B;213B;222B;223B;227B;228B;229B;230B;233B;234B;235B;237B;239B;241B;243B;245B;246B;247B;251B;252B;254B;256B;259B;260B;262B;263B;264B;266B;267B;267B;268B;269B;275B;276B;278B;283B;290B;295B;295B;297B;298B;299B;300B;314B;320B;321B;321B;322B;337B;338B;339B;340B;341B;342B;359B;360B;362B;364B;365B;366B;367B;367B;382B;388B;395B;396B;396B;398B;399B;400B;401B;401B;402B;407B;408B;408B;409B;412B;414B;416B;418B;419B;420B;421B;424B;425B;427B;427B;429B;430B;431B;433B;433B;434B;435B;436B;437B;439B;442B;442B;443B;445B;446B;447B;448B;451B;452B;454B;455B;455B;456B;457B
GRGam-T07-L1;GRG;am;T07;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;48;0;0;0;0;0;0;0;29;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;39;39;0;0;0;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;0;0;0;0
GRGam-T07-L2;GRG;am;T07;L2;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;19;0;41;0;0;0;0;0;25;0;0;0;81;0;0;0;63;0;0;0;0;0;0;0;47;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;26;46;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;153;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;26;0;0;0;0;0;0;0;0;0;347;0;0;0;0
GRGam-T07-L3;GRG;am;T07;L3;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;24;0;51;0;0;0;0;0;0;0;0;0;57;0;0;0;72;0;0;0;0;0;0;0;33;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;23;0;28;54;0;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;21;0;0;0;0;0;0;0;0;0;313;0;0;0;0
GRGam-T14-L1;GRG;am;T14;L1;0;0;0;0;0;0;0;0;50;157;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;51;0;0;0;0;0;0;0;158;0;0;0;551;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;37;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0
GRGam-T14-L2;GRG;am;T14;L2;0;0;0;0;0;0;0;0;57;112;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;51;0;0;0;0;0;0;0;179;0;0;0;524;0;0;0;0;0;0;0;22;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;129;0;19;0;0;0;19;0;19;0;0;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;65;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;25;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;28;0;0;0;0;0;0;0;0;0;158;0;0;0
GRGam-T14-L3;GRG;am;T14;L3;0;0;0;0;0;0;0;0;44;61;0;0;0;0;0;0;0;0;22;0;0;0;56;0;21;0;49;0;0;0;0;0;0;0;220;0;0;0;269;0;0;0;0;0;0;0;55;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;103;36;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;24;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0
GRGam-T21-L1;GRG;am;T21;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;263;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;18;0;24;0;198;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;154;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;38;0;0;0;0;0;0;1191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;47;0;0;0;308;0;0;0;0;0;0;0;0;274;67;0;0;0
GRGam-T21-L2;GRG;am;T21;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;237;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;0
GRGam-T21-L3;GRG;am;T21;L3;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;128;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;59;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;436;0;0;0;0
GRGav-T07-L1;GRG;av;T07;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;33;349;0;161;0;26;0;0;0;0;0;0;0;16;0;0;0;88;0;19;0;0;0;0;0;16;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;335;18;0;0;0;0;16;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;90;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;23;0;0;0;0;0;30;0;0;92;0;0;0;0;0;0;0;0;117;370;0;0;0
