 FileName;River;Position;Time;Replicate;41B;48B;49B;62B;63B;70B;71B;72B;82B;83B;87B;88B;89B;90B;92B;99B;100B;104B;105B;106B;109B;110B;111B;112B;116B;117B;118B;119B;120B;123B;126B;127B;129B;131B;132B;133B;140B;141B;143B;156B;157B;163B;164B;170B;178B;191B;198B;208B;209B;213B;214B;217B;219B;220B;221B;224B;226B;229B;230B;232B;233B;234B;235B;236B;237B;238B;242B;243B;244B;245B;246B;247B;249B;250B;251B;252B;253B;254B;255B;257B;258B;259B;260B;262B;263B;264B;265B;267B;268B;269B;270B;271B;273B;274B;276B;282B;284B;285B;286B;288B;298B;300B;302B;303B;304B;307B;308B;321B;325B;326B;327B;340B;341B;342B;354B;359B;360B;362B;363B;366B;370B;372B;373B;374B;375B;376B;377B;378B;379B;380B;381B;382B;385B;386B;387B;388B;390B;391B;392B;398B;399B;400B;401B;402B;403B;404B;405B;414B;417B;418B;423B;426B;442B;443B;452B;455B;456B;458B;462B;470B;472B;473B;474B;478B;479B;480B;481B;484B;485B;487B;488B;489B;490B;491B;492B;493B;495B;498B;499B
GRGam-T07-L1;GRG;am;T07;L1;0;0;0;0;0;0;0;0;0;41;35;0;497;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T07-L2;GRG;am;T07;L2;0;0;0;0;0;0;0;0;0;50;38;0;581;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;23;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;20;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T07-L3;GRG;am;T07;L3;0;0;0;0;0;0;0;0;0;0;47;0;518;40;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;22;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;82;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T14-L1;GRG;am;T14;L1;0;0;0;0;0;0;0;0;0;0;37;0;335;40;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;82;0;0;60;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;109;0;0;0;0;0;42;0;0;0;0;0;0;0;51;0;0;514;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T14-L2;GRG;am;T14;L2;0;0;22;0;0;0;0;0;0;34;27;0;409;28;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;38;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;42;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;68;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T14-L3;GRG;am;T14;L3;0;0;0;0;0;0;0;0;0;0;26;0;401;44;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;27;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;58;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;82;0;0;0;0;0;33;0;0;0;0;0;0;0;34;0;0;684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T21-L1;GRG;am;T21;L1;0;0;0;0;0;0;0;0;0;0;0;0;308;76;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T21-L2;GRG;am;T21;L2;0;0;0;0;0;0;0;0;0;0;31;0;388;74;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T21-L3;GRG;am;T21;L3;0;0;0;0;0;0;0;0;0;0;0;0;450;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T07-L1;GRG;av;T07;L1;0;0;0;0;0;0;0;15;0;0;155;0;322;0;0;0;0;0;0;0;0;0;0;41;16;0;0;0;0;0;17;0;27;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;261;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;15;0;0;16;0;32;0;49;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;26;0;25;0;0;0;49;0;0;0;0;370;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
