FileName;River;Position;Time;Replicate;36G;37G;42G;59G;61G;62G;63G;64G;65G;71G;74G;75G;76G;78G;79G;86G;87G;89G;89G;90G;91G;100G;102G;103G;104G;106G;116G;123G;124G;125G;128G;129G;141G;142G;145G;146G;147G;148G;153G;154G;155G;157G;158G;158G;159G;160G;161G;163G;164G;165G;166G;167G;172G;173G;175G;176G;177G;178G;180G;181G;188G;190G;191G;199G;203G;206G;207G;208G;222G;225G;232G;264G;271G;282G;286G;291G;297G;308G;322G;424G;426G;428G;464G;477G;477G;479G;480G;487G;488G;494G
GRGam-T07-L1;GRG;am;T07;L1;0;0;0;0;0;10.57;0;0;0;0;0;0;0;0;0;0;0;5.9;0;5.48;0;0;13.27;0;0;0;0;0;0;0;0;0;1.26;0;0;0;0;0;0;25.31;0;1.02;3.59;0;21.83;0;11.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T07-L2;GRG;am;T07;L2;0;0;0;0;0;1.53;0;0;0;0;0;0;0;0;0;0.85;2.4;3.15;0;8.38;0;0;5.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.42;0;0;1.73;0;39.94;0;15.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.85;0;0;0;0;0;0;0;0;0
GRGam-T07-L3;GRG;am;T07;L3;0;0;0;0;0;10.35;0;0;0;0;0;0;0;0;0;0;0;5.71;0;7.66;0;0;8.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.81;0;0;0;0;26.14;0;15.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T14-L1;GRG;am;T14;L1;0;0;0;0;0;5.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.84;0;2.34;17.22;0;19.82;0;37.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T14-L2;GRG;am;T14;L2;0;0;0;0;0;3.79;0;0;0;0;0;0;0;0;0;0;2.14;2.81;0;5.03;0;0;1.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.92;0;1.26;17.03;0;27.82;0;30.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T14-L3;GRG;am;T14;L3;52.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T21-L1;GRG;am;T21;L1;0;0;0;0;0;2.27;0;0;0;0;0;0;0;0;0;0;8.32;10.5;0;6.22;0;0;9.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.84;0;0;7.02;0;42.27;0;8.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T21-L2;GRG;am;T21;L2;0;0;0;0;0;2.55;0;0;0;0;0;0;0;7.62;0;0;5.99;13.01;0;2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.28;0;1.25;17.57;0;23.8;0;11.33;0;2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGam-T21-L3;GRG;am;T21;L3;0;0;0;0;1.83;1.93;0;0;0;0;0;0;0;0;0;0;5.16;16.93;0;2.12;0;0;1.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.53;0;2.58;3.99;0;37.55;0;12.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T07-L1;GRG;av;T07;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.68;0;0;0;0;0;0;94.06;0.95;0;0;0;0;0;0;0;0;0;0;0;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T07-L2;GRG;av;T07;L2;0.74;0;0;0;0;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;10.64;0;3.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.1;0;0;0;7.47;0;51.26;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T07-L3;GRG;av;T07;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;0;5.66;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;15.27;0;0;0;55.93;0;20.26;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T14-L1;GRG;av;T14;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.34;0;0;0;14.58;0;79.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T14-L2;GRG;av;T14;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.59;0;92.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T14-L3;GRG;av;T14;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.16;0;81.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRGav-T21-L1;GRG;av;T21;L1;0;0;0;0;0;5.11;0;0;0;0;0;0;0;1.08;0;0;0;0;0;4.9;0;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.04;0;0;0;19.51;0;66.52;0;0;0;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
