percent,river,site,time,carbohydrate
0.34003400340034,GRG,AM,T07,Glucuronic.acid
2.77972202779722,GRG,AM,T07,Glucuronic.acid
3.77,GRG,AM,T07,Glucuronic.acid
2.28,GRG,AM,T07,Glucuronic.acid
1.92980701929807,GRG,AM,T14,Glucuronic.acid
1.13011301130113,GRG,AM,T14,Glucuronic.acid
4.3004300430043,GRG,AM,T14,Glucuronic.acid
5.64,GRG,AM,T14,Glucuronic.acid
0.97,GRG,AM,T21,Glucuronic.acid
4.94,GRG,AM,T21,Glucuronic.acid
1.53,GRG,AM,T21,Glucuronic.acid
0.87008700870087,GRG,AM,T21,Glucuronic.acid
1.07010701070107,GRG,AV,T07,Glucuronic.acid
0.350070014002801,GRG,AV,T07,Glucuronic.acid
0.32,GRG,AV,T07,Glucuronic.acid
0.99,GRG,AV,T07,Glucuronic.acid
0.0999900009999,GRG,AV,T14,Glucuronic.acid
0.09,GRG,AV,T14,Glucuronic.acid
0.16,GRG,AV,T14,Glucuronic.acid
1.01,GRG,AV,T21,Glucuronic.acid
2.10978902109789,GRG,AV,T21,Glucuronic.acid
0.51994800519948,GRG,AV,T21,Glucuronic.acid
1.34026805361072,GRG,AV,T21,Glucuronic.acid
5.95,RCA,AM,T07,Glucuronic.acid
2.97970202979702,RCA,AM,T07,Glucuronic.acid
4.10958904109589,RCA,AM,T07,Glucuronic.acid
2.44,RCA,AM,T07,Glucuronic.acid
6.69,RCA,AM,T14,Glucuronic.acid
4.46,RCA,AM,T14,Glucuronic.acid
4.47044704470447,RCA,AM,T14,Glucuronic.acid
1.87,RCA,AM,T14,Glucuronic.acid
4.93,RCA,AM,T21,Glucuronic.acid
7.04070407040704,RCA,AM,T21,Glucuronic.acid
6.83,RCA,AM,T21,Glucuronic.acid
2.46,RCA,AM,T21,Glucuronic.acid
2.17,RCA,AV,T07,Glucuronic.acid
0.56994300569943,RCA,AV,T07,Glucuronic.acid
0.73007300730073,RCA,AV,T07,Glucuronic.acid
0.86008600860086,RCA,AV,T07,Glucuronic.acid
0.870174034806961,RCA,AV,T14,Glucuronic.acid
0.19,RCA,AV,T14,Glucuronic.acid
0.36003600360036,RCA,AV,T14,Glucuronic.acid
0.99,RCA,AV,T21,Glucuronic.acid
0.380076015203041,RCA,AV,T21,Glucuronic.acid
1.7003400680136,RCA,AV,T21,Glucuronic.acid
1.17023404680936,RCA,AV,T21,Glucuronic.acid
3.50964903509649,RCAR,AM,T07,Glucuronic.acid
3.8003800380038,RCAR,AM,T07,Glucuronic.acid
1.18,RCAR,AM,T07,Glucuronic.acid
2.73027302730273,RCAR,AM,T07,Glucuronic.acid
2.31976802319768,RCAR,AM,T14,Glucuronic.acid
0.3999600039996,RCAR,AM,T14,Glucuronic.acid
7.36,RCAR,AM,T14,Glucuronic.acid
0.58,RCAR,AM,T21,Glucuronic.acid
1.41014101410141,RCAR,AM,T21,Glucuronic.acid
6.37936206379362,RCAR,AM,T21,Glucuronic.acid
2.000200020002,RCAR,AM,T21,Glucuronic.acid
0.05,RCAR,AV,T07,Glucuronic.acid
2.20955808838232,RCAR,AV,T07,Glucuronic.acid
0.66993300669933,RCAR,AV,T07,Glucuronic.acid
0.29005801160232,RCAR,AV,T07,Glucuronic.acid
0.64,RCAR,AV,T14,Glucuronic.acid
1.07,RCAR,AV,T14,Glucuronic.acid
2.54025402540254,RCAR,AV,T14,Glucuronic.acid
0.779844031193761,RCAR,AV,T14,Glucuronic.acid
0.78992100789921,RCAR,AV,T21,Glucuronic.acid
1.4,RCAR,AV,T21,Glucuronic.acid
1.85018501850185,RCAR,AV,T21,Glucuronic.acid
1.47014701470147,RCAR,AV,T21,Glucuronic.acid
2.6,RGA,AM,T07,Glucuronic.acid
2.9,RGA,AM,T07,Glucuronic.acid
2.14021402140214,RGA,AM,T07,Glucuronic.acid
2.99,RGA,AM,T14,Glucuronic.acid
2.08,RGA,AM,T14,Glucuronic.acid
3.96,RGA,AM,T14,Glucuronic.acid
2.03,RGA,AM,T14,Glucuronic.acid
3.62963703629637,RGA,AM,T21,Glucuronic.acid
1.78017801780178,RGA,AM,T21,Glucuronic.acid
3.94039403940394,RGA,AM,T21,Glucuronic.acid
2.95970402959704,RGA,AM,T21,Glucuronic.acid
1.55968806238752,RGA,AV,T07,Glucuronic.acid
3.77962203779622,RGA,AV,T07,Glucuronic.acid
0.45004500450045,RGA,AV,T07,Glucuronic.acid
0.90990900909909,RGA,AV,T14,Glucuronic.acid
2.61973802619738,RGA,AV,T14,Glucuronic.acid
7.25072507250725,RGA,AV,T14,Glucuronic.acid
2.11,RGA,AV,T14,Glucuronic.acid
1.10988901109889,RGA,AV,T21,Glucuronic.acid
1.33013301330133,RGA,AV,T21,Glucuronic.acid
0.64,RGA,AV,T21,Glucuronic.acid
0.379924015196961,RGA,AV,T21,Glucuronic.acid
1.05989401059894,RMO,AM,T07,Glucuronic.acid
0.45004500450045,RMO,AM,T07,Glucuronic.acid
0.999800039992002,RMO,AM,T07,Glucuronic.acid
0.46004600460046,RMO,AM,T07,Glucuronic.acid
0.1,RMO,AM,T14,Glucuronic.acid
0.14,RMO,AM,T14,Glucuronic.acid
0.07999200079992,RMO,AM,T14,Glucuronic.acid
0.04999500049995,RMO,AM,T14,Glucuronic.acid
0.33003300330033,RMO,AM,T21,Glucuronic.acid
0.70992900709929,RMO,AM,T21,Glucuronic.acid
0.87,RMO,AM,T21,Glucuronic.acid
0.24002400240024,RMO,AM,T21,Glucuronic.acid
0.42995700429957,RMO,AV,T07,Glucuronic.acid
0.97,RMO,AV,T07,Glucuronic.acid
2.63,RMO,AV,T07,Glucuronic.acid
0.28,RMO,AV,T14,Glucuronic.acid
0.69006900690069,RMO,AV,T14,Glucuronic.acid
0.18,RMO,AV,T14,Glucuronic.acid
0.04000400040004,RMO,AV,T14,Glucuronic.acid
0.44,RMO,AV,T21,Glucuronic.acid
0.63993600639936,RMO,AV,T21,Glucuronic.acid
1.32,RMO,AV,T21,Glucuronic.acid
0.42,RMO,AV,T21,Glucuronic.acid
0.35,RPE,AM,T07,Glucuronic.acid
2.26,RPE,AM,T07,Glucuronic.acid
2.55,RPE,AM,T07,Glucuronic.acid
1.92,RPE,AM,T07,Glucuronic.acid
2.75972402759724,RPE,AM,T14,Glucuronic.acid
1.28,RPE,AM,T14,Glucuronic.acid
4.13041304130413,RPE,AM,T21,Glucuronic.acid
1.34,RPE,AM,T21,Glucuronic.acid
2.16,RPE,AM,T21,Glucuronic.acid
0.66,RPE,AV,T07,Glucuronic.acid
0.76007600760076,RPE,AV,T07,Glucuronic.acid
2.72,RPE,AV,T07,Glucuronic.acid
0.64993500649935,RPE,AV,T14,Glucuronic.acid
0.22,RPE,AV,T14,Glucuronic.acid
0.37,RPE,AV,T14,Glucuronic.acid
0.72,RPE,AV,T14,Glucuronic.acid
7.77077707770777,GRG,AM,T07,Fucose
5.46945305469453,GRG,AM,T07,Fucose
7.38,GRG,AM,T07,Fucose
12.61,GRG,AM,T07,Fucose
1.83981601839816,GRG,AM,T14,Fucose
12.1712171217122,GRG,AM,T14,Fucose
4.28042804280428,GRG,AM,T14,Fucose
3.66,GRG,AM,T14,Fucose
10.2,GRG,AM,T21,Fucose
4.12,GRG,AM,T21,Fucose
8.23,GRG,AM,T21,Fucose
6.49064906490649,GRG,AM,T21,Fucose
2.000200020002,GRG,AV,T07,Fucose
3.09061812362472,GRG,AV,T07,Fucose
4.66,GRG,AV,T07,Fucose
0.79,GRG,AV,T07,Fucose
0.23997600239976,GRG,AV,T14,Fucose
0.15,GRG,AV,T14,Fucose
0.29,GRG,AV,T14,Fucose
0.65,GRG,AV,T21,Fucose
3.46965303469653,GRG,AV,T21,Fucose
0.73992600739926,GRG,AV,T21,Fucose
3.63072614522905,GRG,AV,T21,Fucose
0.19,RCA,AM,T07,Fucose
5.34946505349465,RCA,AM,T07,Fucose
3.73962603739626,RCA,AM,T07,Fucose
5.38,RCA,AM,T07,Fucose
0.95,RCA,AM,T14,Fucose
2.2,RCA,AM,T14,Fucose
5.66056605660566,RCA,AM,T14,Fucose
1.44,RCA,AM,T14,Fucose
3.54,RCA,AM,T21,Fucose
1.37013701370137,RCA,AM,T21,Fucose
2.56,RCA,AM,T21,Fucose
3.31,RCA,AM,T21,Fucose
0.44,RCA,AV,T07,Fucose
1.97980201979802,RCA,AV,T07,Fucose
0.34003400340034,RCA,AV,T07,Fucose
0.87008700870087,RCA,AV,T07,Fucose
1.71034206841368,RCA,AV,T14,Fucose
0.65,RCA,AV,T14,Fucose
0.1000100010001,RCA,AV,T14,Fucose
1.12,RCA,AV,T21,Fucose
1.3002600520104,RCA,AV,T21,Fucose
0.920184036807361,RCA,AV,T21,Fucose
