percent,river,site,time,pigments
0,GRG,AM,T07,Alloxanthin
0,GRG,AM,T07,Alloxanthin
0,GRG,AM,T07,Alloxanthin
0,GRG,AM,T14,Alloxanthin
0,GRG,AM,T14,Alloxanthin
0,GRG,AM,T14,Alloxanthin
0,GRG,AM,T21,Alloxanthin
0,GRG,AM,T21,Alloxanthin
0,GRG,AM,T21,Alloxanthin
0,GRG,AV,T07,Alloxanthin
0,GRG,AV,T07,Alloxanthin
0,GRG,AV,T07,Alloxanthin
0,GRG,AV,T14,Alloxanthin
0.764837854374873,GRG,AV,T14,Alloxanthin
0.593242197575445,GRG,AV,T14,Alloxanthin
0,GRG,AV,T21,Alloxanthin
0,GRG,AV,T21,Alloxanthin
0,GRG,AV,T21,Alloxanthin
0,RCA,AM,T07,Alloxanthin
0,RCA,AM,T07,Alloxanthin
0,RCA,AM,T07,Alloxanthin
0,RCA,AM,T14,Alloxanthin
0,RCA,AM,T14,Alloxanthin
0,RCA,AM,T14,Alloxanthin
0,RCA,AM,T21,Alloxanthin
0,RCA,AM,T21,Alloxanthin
0,RCA,AM,T21,Alloxanthin
0,RCA,AM,T21,Alloxanthin
0,RCA,AV,T07,Alloxanthin
0,RCA,AV,T07,Alloxanthin
0,RCA,AV,T07,Alloxanthin
0,RCA,AV,T14,Alloxanthin
0,RCA,AV,T14,Alloxanthin
0,RCA,AV,T14,Alloxanthin
0,RCA,AV,T21,Alloxanthin
0,RCA,AV,T21,Alloxanthin
0,RCA,AV,T21,Alloxanthin
0,RCAR,AM,T07,Alloxanthin
0,RCAR,AM,T07,Alloxanthin
0,RCAR,AM,T07,Alloxanthin
0,RCAR,AM,T14,Alloxanthin
0,RCAR,AM,T14,Alloxanthin
0,RCAR,AM,T14,Alloxanthin
0,RCAR,AM,T21,Alloxanthin
0,RCAR,AM,T21,Alloxanthin
0,RCAR,AM,T21,Alloxanthin
0,RCAR,AV,T07,Alloxanthin
0,RCAR,AV,T07,Alloxanthin
0,RCAR,AV,T07,Alloxanthin
0,RCAR,AV,T14,Alloxanthin
0,RCAR,AV,T14,Alloxanthin
0,RCAR,AV,T14,Alloxanthin
0,RCAR,AV,T21,Alloxanthin
0,RCAR,AV,T21,Alloxanthin
0,RCAR,AV,T21,Alloxanthin
