"","Group.1","Group.2","Group.3","12:0","13:0","14:0","14:0iso","15:0","15:0anteiso","15:0iso","15:1-n1","16:0","16:0iso","16:1-n5","16:1-n7","16:1-n9","16:2-n4","16:2-n6","16:3-n4","17:0","17:0anteiso","17:0iso","17:1-n9","18:0","18:1-n5","18:1-n7","18:1-n9","18:2-n6","18:3-n3","18:3-n6","18:4-n3","19:0","20:0","20:1","20:2-n9","20:4-n6","20:5-n3","22:0","22:1-n9","22:2-n6","22:6-n3","24:0","24:1-n9"
"1","GRG","AM","T07",0.271930995724184,0.0309305827991277,0.857181332279437,0.0661631237247084,0.159305832728396,0.0457356129605833,0.111703858134944,0.0262264977275293,42.765678857759,0.0369988739981678,0.091282456110207,1.01883976722674,0.144744374286076,0.279644776105541,0.0172816268383967,0.324470088955188,0.292123223780308,0.0739338574868214,0.0675442594252002,0.0448850935006044,46.0630861450055,0.0375597977160469,1.02271586760094,2.60748461984117,0.541541981415221,0.479708857895372,0.0605959822946185,0.0412518405796986,0.0843816478519805,0.355839369706319,0.213260178694606,0.0811948433407645,0.235605672831291,0.817009288729261,0.125248994077794,0.204209891831469,0.0803877931369506,0.0608660891939635,0.0930625706362051,0.0683834760696416
"2","GRC","AM","T07",0.101918440685255,0.00693639570970115,0.639316345576212,0.0217432643874224,0.157953246144889,0.0470937395345222,0.0261204737249277,0.00714999627959035,44.7777087099711,0.0160664996418417,0.0412988097269257,0.238866073740678,0.174486450492688,0.0650188069447763,0.0228770531063659,0.21893892021045,0.30394225703863,0.0931606669451465,0.0406396406675654,0.0488601447574892,49.6148494361977,0.0298591041635155,0.0946892220414897,1.45474242565562,0.085482068522982,0.0403987756766127,0.0890630962771329,0.0134337874168823,0.0846050329881293,0.366561637838976,0.283021138606639,0.126654730253732,0.0204016232475745,0.15637780407193,0.0902084087023549,0.107177813704083,0.019402139249402,0.118798138354751,0.100831976902962,0.0533457048413073
"3","RCA","AM","T07",0.193217804841971,0.0221758863164052,0.539041942375184,0.0259887852164534,0.104567336392092,0.0192691893849348,0.0234407684340028,0.0251169518827188,43.9571560513171,0.0199131085161534,0.0122415190489155,0.402026537072724,0.132842565763398,0.0787730275109672,0.0111594568159475,0.156678677702895,0.278525488279216,0.0694063468057478,0.0746529072172426,0.100948538854672,48.9040144535875,0.0308979306986244,0.18559520115096,1.8473344498561,0.283613483247305,0.834320005854128,0.145696430925054,0.0852481583201741,0.111435654570571,0.430293428081391,0.114866711079076,0.12801999608332,0.0664794224436869,0.242915695347789,0.0458872642622875,0.0661882156860196,0.0487528789847511,0.0475530545490701,0.077515323830799,0.0562293516925909
"4","RGA","AM","T07",0.391548591805992,0.0253268357443879,1.11416357843308,0.0877127202961302,0.247379604381951,0.0799239362234543,0.0607473798857497,0.034596337539966,44.4311844158072,0.022344879253878,0.0699899478677549,0.981130559321874,0.183598066179843,0.153499813626617,0.0383493001443041,0.268186514773605,0.343827176353581,0.0902083430013821,0.0889870623839455,0.0655677747585305,47.0370727748717,0.0279154053053854,0.202311681033902,1.11415884379951,0.268109505227546,0.360730109733273,0.176622076784184,0.0499823775272743,0.117321830227533,0.443148512222492,0.157785947387554,0.192699591400734,0.116257047102589,0.442527150299459,0.0591959185353446,0.0498315879627054,0.129770835557229,0.0457933546197846,0.0601426584392291,0.170349954179372
"5","RMO","AM","T07",0.619666641310074,0.102254478151582,3.55123582657198,0.67035345699721,0.457650792618324,0.264513389245768,0.449578992744007,0.0927891758153121,38.1947712293178,0.216178560851863,0.431330103780043,5.72448477470803,0.506270104398729,1.35503799797624,0.186704081371439,1.99798396493287,0.311549913846305,0.124492573090535,0.55061570325371,1.28147827460995,28.826951866985,0.0908381328925397,1.07890822346968,3.20948479828717,1.22463690454654,3.26601118934127,0.366372573848338,0.483287728370045,0.15271004812541,0.331431354044091,0.257529158136496,0.178607578914856,0.555969396220807,2.07050186203766,0.19572881616701,0.119897279024877,0.0627561370841243,0.256977510432845,0.0832645582213386,0.0991948482581845
"6","RPE","AM","T07",0.20933134366036,0.0242303758719807,0.6727527816662,0.0384210393085991,0.181380111746497,0.0439232015981595,0.0247903642961167,0.0162253299686627,44.5691299227441,0.0268773178071796,0.122639040057578,0.502392930288386,0.125252813181281,0.0702064770641138,0.0131277982973268,0.108964311586781,0.304696116077784,0.0865750127872112,0.0534866724391474,0.0282692577923275,49.4558286036871,0.0318537962479444,0.148325399014992,0.989943702269181,0.139914574416317,0.100721493877694,0.131146418226935,0.0175237885659037,0.128914069742694,0.470851782375357,0.158102774837451,0.183577454671697,0.0369692877142507,0.236763222513079,0.0629556265011129,0.123404449951998,0.144880712009741,0.0830876375118461,0.0947334459893643,0.0378295416355537
"7","GRG","AV","T07",0.0581938041591128,0.0173533945977414,5.41523161690306,0.393733845848403,0.169844579660975,0.0521863887961674,0.242015661556427,0.0612789079111066,31.4996143051122,0.0455574401559026,0.181130878117369,7.81647807646921,0.508027076122601,3.45659702086823,0.297076271501564,5.67501251652535,0.179799336959056,0.0485146667775105,0.294442217081151,0.178425318354334,28.6741310479659,0.021603823293616,0.660131285599084,1.96090102140091,1.11029551952958,1.11637193556622,0.761302152885896,0.211576971541984,0.0596153320950946,0.248031530436506,0.180708785678297,0.0789934092158786,0.886341533197913,5.86986275046286,0.142115683149012,0.129907501395027,0.0575869111680836,0.910421142088289,0.23800517818729,0.0915831616651819
"8","GRC","AV","T07",0.149281679317899,0.0133662698505093,1.39384086585146,0.115753347149263,0.123767430180399,0.0312728873966201,0.0726478422791187,0.0255848799629956,41.8015555600744,0.0187279175640296,0.0452374363281184,3.56927191282419,0.266633944114152,0.616510004389926,0.0628195549139559,0.846854553958313,0.250377119658113,0.0728031587110569,0.227960357736938,0.0509284606725675,42.1596780489816,0.0416891785965718,0.315344894321646,2.64884055569817,0.805022495782261,1.22025404088369,0.236158014520028,0.214844795507398,0.0766322668792294,0.400356121788658,0.140472950156008,0.111184305626539,0.189872638509434,1.22153043861587,0.117609087662881,0.0664304926806384,0.0361053362341858,0.0694227330440465,0.131213349274331,0.0421430723027712
"9","RCA","AV","T07",0.172622103242383,0.0222623197988717,1.31216116110835,0.161208471063854,0.118959363085239,0.0412396688821494,0.0876740879157186,0.0247371062089258,42.1974144052281,0.032970535306616,0.054766866597271,2.66060614791372,0.220127590053142,0.403240614479987,0.0860318147574566,0.656983784451683,0.235001792369963,0.0669931595682728,0.206976801794327,0.066996728363281,43.6319819228845,0.0256246984790418,0.392301632714241,2.19498628985968,0.73968146942697,1.38737537308863,0.175197371271913,0.144826703236955,0.0606356772645513,0.395422784976144,0.132545206317869,0.0795602727067409,0.311261347379056,1.01674163302843,0.0776386024941386,0.0853447174188383,0.0696447331575868,0.104119094565486,0.092768864588526,0.05336708295137
"10","RGA","AV","T07",0.42949678873419,0.0527089857807549,1.8338414553307,0.152986598269528,0.382229789050147,0.102435448635176,0.120331262846723,0.0442046237526074,41.4192136545248,0.0564502301478918,0.10984213589078,2.5386426973093,0.589769584637273,0.450381867021422,0.0283824285621019,0.634963414906847,0.349358792548588,0.0830011476249121,0.183310896014061,0.213102587376033,41.9750652887367,0.0344646480835304,0.405215980616945,2.52134782130249,0.563073254751922,0.946949351192006,0.283883779649805,0.152255276874087,0.106538381530457,0.443696668701835,0.130033825696595,0.118781630154164,0.256791550001541,1.02916298030568,0.119892445571041,0.377659573496232,0.22064812424753,0.268284468589977,0.193491938136379,0.0781086233972825
