Group.1,Group.2,Group.3,Allo,alpha.Caroten,Asta,beta.Caroten,Chl.a,Chl.a.allomer,Chl.a.epimer,Chl.b,Chl.c2,Chl.c3,Chlide.a.,Chlide.b.,Diadino,Diato,DV.Chl.b,Fuco,Lutein,Myxo,Neo,Sipho,Phaeo,Viola,Zea
GRG,AM,T07,0,0,0,4.18389378932091,39.8697617441004,6.46484605098649,0,4.82378173313894,0.93135968783476,0,0,0,4.3958761142014,0,0,31.8801741741942,2.87172393875781,0,0.708751456510763,0.256181114089961,2.55446215314833,0.614224318495475,0.444963725220529
GRC,AM,T07,0,0,0,0.889606356251357,38.4734148240299,12.8558110165958,0,7.83531341011074,0,0,0,0,2.7389127489656,0,0,35.6223898080936,1.58455183595288,0,0,0,0,0,0
RCA,AM,T07,0,0.471149709742646,0,1.34979008360712,39.0830934057182,7.06081683879199,0,26.7123780118992,0,0,0,0,0.743095379273008,0,1.11283912947534,10.6347740539903,2.76291203578113,0,2.35986154442231,5.51720421048613,0,2.19208559681254,0
RGA,AM,T07,0,0,0,0.88090204369274,47.035354643994,5.40936776401893,0,1.93260120585702,1.67371388301621,1.05708245243129,0,0,4.80815297559225,0,0,35.6624349735656,1.54039005783192,0,0,0,0,0,0
RMO,AM,T07,0,0,0,2.88440847508071,40.9368789329447,6.01031269030707,0.637729346562037,9.55581063426584,2.4533012467874,0.302953528002233,0.308210415710642,0.187982101632233,2.80585124804939,0.138515429745131,0.537701926639212,22.534640015276,3.6190515503357,0.382419112974413,1.67190415205843,0.274603805459951,1.9291051978964,2.07349178970635,0.755128400566163
RPE,AM,T07,0,0,0,1.72623932859079,37.6019353338393,5.98862558700031,0,5.90857477705856,7.27171550305759,1.18563639453835,0,0,3.13413877375049,0,0,33.8456973672051,1.32380916025678,0,0,0,1.4626635873749,0,0.550964187327823
GRG,AV,T07,0,0,0,1.247178534563,26.6606602926482,20.6089063008915,0.760473854091957,2.25086287795965,4.82603440495147,0.497805303554711,0.291702622990039,0,3.75595032049162,0,0.127976917617768,35.4223242828015,0.734490786705816,0.139611182855747,0.22754996179919,0.16043513138072,1.02939858100182,1.03027581379289,0.228362829902301
GRC,AV,T07,0,0,0,0.807725447679449,31.7853611998904,16.5174532830372,0.902256772397482,11.3771659132389,3.72039064906845,0.411539460249537,0.428471875720558,0.259602215336991,1.86853484291292,0.314132931941883,0.801950805478457,23.6667426425711,2.43793376786772,0.364518209405916,0.653967483468184,0.628246877461572,1.18916230831301,1.32140298388639,0.543440330073833
RCA,AV,T07,0,0,0,2.61971863836709,37.5287757746747,5.7948726929285,0.28914649212733,9.61790292354321,2.68012203193899,0.584046773867782,0.118287201324817,0.170859290802513,2.25309924886733,0,0.394566222101059,27.8054053882885,1.56489935208119,0.582959706480529,1.07978700150581,2.54492520461258,1.67212680099476,2.09319787102176,0.60530138447156
RGA,AV,T07,0,0,0,1.66563680916954,42.0744878344456,6.5738134299735,1.27873563218391,12.4848353405853,0.392571342292013,0,0,0,1.70181560491005,0,0.433341830231967,25.0062050072441,3.50520659201453,0.15098897780462,1.81658768482038,0.424132900988346,0,2.49164101333626,0
